🚀 Supabase Upload Script Started
Processing [280/3027] photo_3.png... ✅ Done.
Processing [281/3027] photo_4.png... ✅ Done.
Processing [282/3027] photo_5.png... ✅ Done.
Processing [283/3027] photo_6.png... ✅ Done.
Processing [284/3027] photo_1.PNG... ✅ Done.
Processing [285/3027] photo_1.PNG... ✅ Done.
Processing [286/3027] photo_1.jpg... ✅ Done.
Processing [287/3027] photo_2.jpg... ✅ Done.
Processing [288/3027] photo_3.jpg... ✅ Done.
Processing [289/3027] photo_4.jpg... ✅ Done.
Processing [290/3027] photo_5.jpg... ✅ Done.
Processing [291/3027] photo_6.jpg... ✅ Done.
Processing [292/3027] photo_7.jpg... ✅ Done.
Processing [293/3027] photo_1.jpg... ✅ Done.
Processing [294/3027] photo_2.jpg... ✅ Done.
Processing [295/3027] photo_3.jpg... ✅ Done.
Processing [296/3027] photo_4.jpg... ✅ Done.
Processing [297/3027] photo_5.jpg... ✅ Done.
Processing [298/3027] photo_1.PNG... ✅ Done.
Processing [299/3027] photo_1.PNG... ✅ Done.
Processing [300/3027] photo_1.PNG... ✅ Done.
Processing [301/3027] photo_1.PNG... ✅ Done.
Processing [302/3027] photo_1.PNG... ✅ Done.
Processing [303/3027] photo_1.PNG... ✅ Done.
Processing [304/3027] photo_1.PNG... ✅ Done.
Processing [305/3027] photo_1.PNG... ✅ Done.
Processing [306/3027] photo_1.PNG... ✅ Done.
Processing [307/3027] photo_1.PNG... ✅ Done.
Processing [308/3027] photo_1.PNG... ✅ Done.
Processing [309/3027] photo_1.PNG... ❌ Upload failed: Unexpected token '<', "<html>
<h"... is not valid JSON
Processing [310/3027] photo_1.JPG... ✅ Done.
Processing [311/3027] photo_2.JPG... ✅ Done.
Processing [312/3027] photo_3.JPG... ✅ Done.
Processing [313/3027] photo_1.PNG... ✅ Done.
Processing [314/3027] photo_1.PNG... ✅ Done.
Processing [315/3027] photo_1.PNG... ✅ Done.
Processing [316/3027] photo_1.PNG... ✅ Done.
Processing [317/3027] photo_1.PNG... ✅ Done.
Processing [318/3027] photo_1.PNG... ✅ Done.
Processing [319/3027] photo_1.PNG... ✅ Done.
Processing [320/3027] photo_1.PNG... ✅ Done.
Processing [321/3027] photo_1.PNG... ✅ Done.
Processing [322/3027] photo_1.jpg... ✅ Done.
Processing [323/3027] photo_2.jpg... ✅ Done.
Processing [324/3027] photo_3.jpg... ✅ Done.
Processing [325/3027] photo_4.jpg... ✅ Done.
Processing [326/3027] photo_5.jpg... ✅ Done.
Processing [327/3027] photo_1.PNG... ✅ Done.
Processing [328/3027] photo_1.PNG... ✅ Done.
Processing [329/3027] photo_1.PNG... ✅ Done.
Processing [330/3027] photo_1.jpg... ✅ Done.
Processing [331/3027] photo_1.PNG... ✅ Done.
Processing [332/3027] photo_1.PNG... ✅ Done.
Processing [333/3027] photo_1.PNG... ✅ Done.
Processing [334/3027] photo_1.PNG... ✅ Done.
Processing [335/3027] photo_1.PNG... ✅ Done.
Processing [336/3027] photo_1.PNG... ✅ Done.
Processing [337/3027] photo_1.PNG... ✅ Done.
Processing [338/3027] photo_1.PNG... ✅ Done.
Processing [339/3027] photo_1.jpg... ✅ Done.
Processing [340/3027] photo_2.jpg... ✅ Done.
Processing [341/3027] photo_1.PNG... ✅ Done.
Processing [342/3027] photo_1.PNG... ✅ Done.
Processing [343/3027] photo_1.PNG... ✅ Done.
Processing [344/3027] photo_1.PNG... ✅ Done.
Processing [345/3027] photo_1.PNG... ✅ Done.
Processing [346/3027] photo_1.PNG... ✅ Done.
Processing [347/3027] photo_1.PNG... ✅ Done.
Processing [348/3027] photo_1.PNG... ✅ Done.
Processing [349/3027] photo_1.PNG... ✅ Done.
Processing [350/3027] photo_1.PNG... ✅ Done.
Processing [351/3027] photo_1.PNG... ✅ Done.
Processing [352/3027] photo_1.PNG... ✅ Done.
Processing [353/3027] photo_1.PNG... ✅ Done.
Processing [354/3027] photo_1.PNG... ✅ Done.
Processing [355/3027] photo_1.PNG... ✅ Done.
